pincode,circle,region,division,offices
713202,West Bengal Circle,South Bengal Region,Asansol Division,Durgapur Coke Oven Colony SO
713203,West bengal circle,South Bengal Region,Asansol Division,"Bhiringi BO, Amrai BO, Durgapur Steel Project SO, Durgapur DSP SB SO"
713204,West bengal circle,South Bengal Region,Asansol Division,"Kamalpur BO, Pratappur BO, Durgapur Steel Town West SO, Benachity Market SO"
713205,West bengal circle,South Bengal Region,Asansol Division,"Dhabani BO, Durgapur Steel Town East SO, Durgapur Sepco Township SO"
713206,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Abl Township SO, Fuljhore BO, Jemua BO"
713207,West Bengal Circle,South Bengal Region,Asansol Division,Durgapur Thermal Power Station SO
713208,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Alloy Steel Project SO, Durgapur ASP SB SO"
713209,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Re College SO, Durgapur Mg Avenue SO"
713210,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur Heavy Engg Plant SO, V K Nagar SO"
713211,West bengal circle,South Bengal Region,Asansol Division,"Nadiha BO, Gopinathpur BO, Durgapur Sagarbhanga Colony SO"
713212,West bengal circle,South Bengal Region,Asansol Division,"Amlajora BO, Bamunara BO, Burdwan Arrah BO, Gopalpur BO, Kuldiha BO, Malandighi BO, Bidhannagar SO, Rajbandh BO, Rakshitpur BO, Shibpur BO, Durgapur Bidhannagar Postal Colony SO"
713213,West Bengal Circle,South Bengal Region,Asansol Division,Benachity SO
713214,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur CRPF Camp SO, Amrabati SO"
713215,West Bengal Circle,South Bengal Region,Asansol Division,"Angadpur SO, Durgapur Brick Field SO"
713216,West Bengal Circle,South Bengal Region,Asansol Division,City Centre SO
713217,West Bengal Circle,South Bengal Region,Asansol Division,Oyaria SO
713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO"
713302,West Bengal Circle,South Bengal Region,Asansol Division,"Dakhin Dhadka SO, Jhingri Mohallah SO, Palashbagan SO, Railpar SO Bardhaman"
713303,West Bengal Circle,South Bengal Region,Asansol Division,"Ushagram SO, BBCollege SO, Mohishila Colony SO, Rambandhutalaw SO, SDHospital SO"
713304,West Bengal Circle,South Bengal Region,Asansol Division,"U C Danga SO, Asansol Court SO, Hill View SO, Kumarpur SO"
713305,West Bengal Circle,South Bengal Region,Asansol Division,Ramkrishna Mission SO
713315,West bengal circle,South Bengal Region,Asansol Division,"Jamgram BO, Panuria SO, Kapista BO, Roshna BO"
713321,West bengal circle,South Bengal Region,Asansol Division,"Andalgram BO, BAKTARNAGAR BO, Dakhin Khanda BO, Madanpur BO, Moira Colliery BO, Srirampur BO, Andal SO, Andal South Bazar SO"
713322,West bengal circle,South Bengal Region,Asansol Division,"Siduli BO, Bahula SO"
713323,West bengal circle,South Bengal Region,Asansol Division,"Egara BO, Nupur BO, Ballavpur SO"
713324,West Bengal Circle,South Bengal Region,Asansol Division,"Barakar SO, Baltoria BO, Ramnagar BO, Begunia Bazar SO"
713325,West Bengal Circle,South Bengal Region,Asansol Division,"Burnpur SO, Hirapur B.O, Radhanagar BO, Burnpur Mkt SO, Dharampur BO, Kalajhoria BO, Santa BO, Narsinghbandh SO, Rahmatdanga SO, Rambandh SO, Santinagar SO Bardhaman"
713326,West Bengal Circle,South Bengal Region,Asansol Division,Chotodighari SO
713330,West Bengal Circle,South Bengal Region,Asansol Division,"Charanpur SO, Majhiara BO, Shivpur BO"
713331,West Bengal Circle,South Bengal Region,Asansol Division,"Chittaranjan SO, Amladahi SO, Simjuri SO"
713332,West Bengal Circle,South Bengal Region,Asansol Division,"Devchandnagar SO, Bogra BO"
713333,West Bengal Circle,South Bengal Region,Asansol Division,"Disergarh SO, Gangutia BO, Sitalpur BO"
713334,West Bengal Circle,South Bengal Region,Asansol Division,"Domahani Bazar SO, Baraboni BO, Bhanora BO, Birkulti BO, Kelejora BO, Churulia BO"
