pincode,circle,region,division,offices
712152,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rameswarpur SO, Melki BO, Jayer BO, Dabra BO, Chandpur BO"
712201,West Bengal Circle,South Bengal Region,Hooghly South Division,"Serampore HO, Kalbazar SO, Manicktala Bazar SO, Serampore Court SO"
712202,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mahesh 1 SO, Masjid Lane BO"
712203,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mallickpara SO, Simla BO, Bahirserampore BO"
712204,West Bengal Circle,South Bengal Region,Hooghly South Division,Chatra SO Hooghly
712221,West Bengal Circle,South Bengal Region,Hooghly South Division,Angus SO
712222,West Bengal Circle,South Bengal Region,Hooghly South Division,"Baidyabati SO, Champdani SO"
712223,West Bengal Circle,South Bengal Region,Hooghly South Division,"Sheoraphuli SO, Antisara BO, Belumilki BO, Chandanpur BO, Chinamore BO, Dearah BO, Mohistikri BO, Mollasimla BO, Nasibpur BO, Pahalampur BO, Kumarpara BO"
712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO
712233,West Bengal Circle,South Bengal Region,Hooghly South Division,Hindmotor SO
712234,West Bengal Circle,South Bengal Region,Hooghly South Division,Kanaipur SO
712235,West Bengal Circle,South Bengal Region,Hooghly South Division,"Konnagar SO, Criper Road SO"
712245,West Bengal Circle,South Bengal Region,Hooghly South Division,"Makhla SO, Raghunathpur BO, Rajendra Avenue BO"
712246,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nabagram SO Hooghly, Barabahera BO"
712248,West Bengal Circle,South Bengal Region,Hooghly South Division,"Rishra SO, Bangurpark SO, Gandhisarak SO, Mahesh 2 SO"
712249,West Bengal Circle,South Bengal Region,Hooghly South Division,"Prabasnagar SO, Nutangram BO"
712250,West Bengal Circle,South Bengal Region,Hooghly South Division,"Morepukur SO, Bamunari BO, Mollerberh BO"
712258,West Bengal Circle,South Bengal Region,Hooghly South Division,"Uttarpara SO, Uttarpara Bazar SO"
712301,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bhandarhati SO, Alipur Nayanagar BO, Bagnan Chaitanyabati BO, Dakshin Basudebpur BO, Kanui Banka BO, Mandra BO, New Chandpur BO"
712302,West Bengal Circle,South Bengal Region,Hooghly North Division,"Dhaniakhali SO, BELMURI BO, Boso BO, Dedhara BO, Hazipur BO, Kananadi BO, Kankrakuli BO, Lokabati BO, Mazinan BO, Rudrani BO"
712303,West Bengal Circle,South Bengal Region,Hooghly North Division,"Gurap SO, Balidaha BO, Bhastara BO, Cheragram BO, Ghosla BO, Jolekul BO, Palasi BO, Sankarpur BO"
712304,West Bengal Circle,South Bengal Region,Hooghly South Division,"Janai SO, Baksha BO, Chikranda BO, Kharsarai BO, Monirampur BO"
712305,West Bengal Circle,South Bengal Region,Hooghly North Division,"Puinan SO, Alipur BO, Ati BO, Babnan BO, Danrpur BO, Gobarara BO, Goswamimalipara BO, Harit BO, Makalpur BO, Nagbal BO, Pawnan BO, Porabazar BO, Sinhet BO"
712306,West bengal circle,South Bengal Region,Hooghly South Division,"Baratajpur BO, Baruipara BO, Bora BO, Borai BO, Begampur SO Hooghly, Gangadharpur Bazar BO, Panchgharabazar BO"
712308,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanpur SO Hooghly, Chopa BO, Gurbari BO, Kharua BO, Siptai BO"
712310,West Bengal Circle,South Bengal Region,Hooghly South Division,"Dankuni Coal Complex SO, Chakundi BO"
712311,West Bengal Circle,South Bengal Region,Hooghly South Division,"Dankuni SO, Mrigala BO, Garalgacha BO, DANKUNI HOUSING COMPLEX SO"
712401,West Bengal Circle,South Bengal Region,Hooghly South Division,"Champadanga SO, Aimapaharpur BO, Ankriserampore BO, Astara BO, Balipur BO, Binagram BO, Chiladangi BO, Gholdigrui BO, Ghole BO, Moktarpur BO, Parshyampur BO, Pursurah BO, Ramnarayanpur BO, Jangalpara BO"
712402,West Bengal Circle,South Bengal Region,Hooghly North Division,"Dasghara SO, Chenchua BO, GOPINAGAR BO, Mohisgoria BO, Nimdanga BO, Routhpur BO, Sahabazar BO"
712403,West Bengal Circle,South Bengal Region,Hooghly South Division,"Haripal SO, Basuri BO, Dalapatipur BO, Dwarhatta BO, Hawakhana BO, Jagalgori BO, Mora BO, Paschimgopinathpur BO"
712404,West Bengal Circle,South Bengal Region,Hooghly South Division,"Jangipara SO, Baganda BO, Dilakash BO, Dingalhati BO, Krishnanagar BO, Kulakash BO, Lakshmanpur BO, Mundalika BO, Satghara BO, Prasadpur BO"
712405,West Bengal Circle,South Bengal Region,Hooghly South Division,"Khamarchandi SO, Bahirkhand BO, Bajitpur BO, Brahmanpara BO, Jejur BO, Kaikala BO, Kalachara BO, Malia BO, Musapur BO, Paniseola BO"
712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO, Mainan BO, Nangulpara BO, Patul BO, Pole BO, Sonatikri BO, Udaypur BO, Routhkhana BO"
