pincode,circle,region,division,offices
713101,West Bengal Circle,South Bengal Region,Burdwan Division,"Burdwan HO, Agriculture Farm SO, Bajepratappur NDDF SO, Burdwan Bar Library SO, Burdwan District School Board SO, Burdwan Rs SO, Nutanpalli SO, Ranisayar SO, Sarbamangala Bari SO, Sadhanpur SO, Bahirsarbamangala SO"
713102,West bengal circle,South Bengal Region,Burdwan Division,"Belkas BO, Bhita BO, Chandrahati BO, Chotobelun BO, Jamar BO, Kaligram BO, Kanchannagar BO, Karjanachati BO, Korar BO, Kshetia BO, Kubajpur BO, Kurmun BO, Lakurdi BO, Mahachanda BO, Mirjapur BO, Rajganj Asthal BO, Nutanganj SO, Kamalakanta Kalibari SO, Kotalhat SO"
713103,West bengal circle,South Bengal Region,Burdwan Division,"Bolpur BO, Bontir BO, Hijalna BO, Kamalpur BO, Machkanda BO, Saloon BO, Sripalli SO, Chotonilpur SO, Ghordourchati SO, Ichlabad SO, Sankharipukur SO, Sadarghat SO"
713104,West bengal circle,South Bengal Region,Burdwan Division,"Baikunthapur BO, Fagupur BO, Joteram BO, Rayan BO, Burdwan Rajbati SO, Burdwan Medical College SO, Burdwan University SO, Golapbag SO, Harisava SO"
713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO, Muratipur BO, Ratanpur BO, Sahebganj BO, Sanchalida BO"
713122,West Bengal Circle,South Bengal Region,Burdwan Division,"Baidyapur SO, Anukhal BO, Badla BO, Goda Annada BO, Tehatta BO, Akalpoush BO, Singerkone BO"
713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO, Gangatikuri BO, Kachutia BO, Keuguri BO, Mougram BO, Pachundi BO, Sankai BO, Shimulia BO, Sitahati BO, Murgram BO, Banwaribad Raj SO"
713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO, Boro Balaram BO, Deriapur BO, Kalanabagram BO, Natumohanpur BO"
713125,West bengal circle,South Bengal Region,Burdwan Division,"Amarun BO, Amarun Bazar BO, Basuda BO, Chandipur Kanpur BO, Fulgram BO, Hargram BO, Hossainpur BO, Kherur BO, Pachim Kharampur BO, Palar BO, Shyamnabagram BO, Sunur BO, Barabelun BO, Nasigram BO, Bhatar SO"
713126,West bengal circle,South Bengal Region,Burdwan Division,"Saha Basantapur BO, Nrisinghapur BO, Berenda BO, Goligram BO, Kurumba BO, Bhedia SO"
713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO, Mohanpur BO, Narayanpur BO, Bonpas SO"
713128,West bengal circle,South Bengal Region,Burdwan Division,"Deasa Aligram BO, Deoradanga BO, Digha BO, Dignagar BO, Genna Deriapur BO, Gonpur BO, Hatkirtinagar BO, Jadabganj BO, Jaypur BO, Keleti BO, Mahata BO, Orgram BO, Paligram BO, Pichkuri BO, Rairamchandrapur BO, Sarulia BO, Shar BO, Shibda BO, Somaipur BO, Uniatatarpur BO, Gushkara SO, Gushkara New Town SO"
713129,West bengal circle,South Bengal Region,Burdwan Division,"Khatundi BO, Amgoria BO, Ankhona BO, Bamundi BO, Brahmanigram BO, Chakta BO, Ehiapur BO, Hatkalua BO, Kantadihi BO, Khanji BO, Komarpur BO, Masundi BO, Rajoor BO, Sadipur Berugram BO, Srigopalpur BO, Srigram BO, Kandara SO"
713130,West Bengal Circle,South Bengal Region,Burdwan Division,"Katwa HO, Atuhatpara SO, Katwa Bazar SO, Katwa College SO, Katwa Station Bazar SO"
713131,West bengal circle,South Bengal Region,Burdwan Division,"Bamunara BO, Chanak BO, Gatistha BO, Kalanpur BO, Lakhuria BO, Kasemnagar SO"
713132,West bengal circle,South Bengal Region,Burdwan Division,"Kowarpur BO, Barashyambazar BO, Bhalgram BO, Boinchee BO, Chakulia BO, Kulai BO, Mathrun BO, Palita BO, Pindira Boura BO, Majigram SO"
713140,West bengal circle,South Bengal Region,Burdwan Division,"Barapurulia BO, Nabagram BO, Nirol BO, Roundi Srirampur BO, Shibloon BO, Gurpara BO, Ketugram SO"
713141,West bengal circle,South Bengal Region,Burdwan Division,"Amar BO, Bara Balgona BO, Barakashiara BO, Belari BO, Belgram BO, Bhaghar BO, Bhota BO, Chandul BO, Khano BO, Pachkula BO, Sanko BO, Satinandi BO, Shyamsundarpur BO, Simdal BO, Takipur BO, Talit BO, Bhada BO, Khana Jn SO"
